,cluster,cluster_label,seasonal_ndvi_integral,percentile_in_cluster,acres,estimated_yield_bu_ac,estimated_total_bushels,confidence
3127200001,2,"Soybean-like (later peak, slower decline)",78.92187897591434,58.963233614980595,158.92757394501214,75.7539826022876,12039.396671654227,0.7552773235951733
3127300001,1,"Corn-like (early peak, fast decline)",78.56695874678276,19.939577039274926,80.05050692944819,239.25068253485415,19152.138420131552,0.5395916073191556
3127300002,2,"Soybean-like (later peak, slower decline)",76.08634953570498,41.607672984699704,78.91384383476867,73.05227085946905,5764.835494379362,0.6542665016762714
3127400002,2,"Soybean-like (later peak, slower decline)",85.94932217747782,92.7609043160539,132.6354579463248,82.4497782975891,10935.764102073683,0.6624447297089123
3127400003,2,"Soybean-like (later peak, slower decline)",85.59965843256168,91.7789449646038,25.76896622501071,82.11661630241402,2116.060312009071,0.7627293234145658
3128100001,1,"Corn-like (early peak, fast decline)",88.07621139484806,83.79566053282065,80.38771959806535,249.45430105745592,20053.06240593814,0.6139086186261796
3128100003,2,"Soybean-like (later peak, slower decline)",81.37285937274456,74.19502169445079,39.91673995510934,78.08929340020525,3117.0700179342293,0.6194660284962037
3128200010,2,"Soybean-like (later peak, slower decline)",77.60027734528214,50.993377483443716,197.68550803180224,74.49475157679575,14726.53281116177,0.7669184040126693
3128300001,1,"Corn-like (early peak, fast decline)",83.79175717670628,51.963746223564954,39.17322766622237,244.85699588138985,9591.838845328957,0.6905710730082979
3128300002,2,"Soybean-like (later peak, slower decline)",78.73492460580127,57.73007535967116,40.34488528626078,75.57585120645614,3049.0990473359857,0.7546059206300249
3128300003,1,"Corn-like (early peak, fast decline)",87.66196981209495,81.07662730019226,39.481812617235214,249.00981154360633,9831.35871921772,0.6925786734267498
3128300004,1,"Corn-like (early peak, fast decline)",92.66628403952699,96.18236748146114,40.318457345652995,254.3795409254768,10256.190670410626,0.55802109117577
3128400004,1,"Corn-like (early peak, fast decline)",85.46604840413681,65.91595715462785,80.33899729391828,246.6535438975913,19815.898395723943,0.7409621893092923
3128400005,1,"Corn-like (early peak, fast decline)",88.3175079650471,84.86679483658335,78.99234100114823,249.71321710945756,19725.431598404033,0.787356219691897
3129100002,1,"Corn-like (early peak, fast decline)",88.45231694248987,85.49848942598187,75.1003369566523,249.85786984192313,18764.4102163998,0.6123775341612959
3129100003,1,"Corn-like (early peak, fast decline)",89.58524370253872,90.22246635539688,84.16989018449158,251.07352294331992,21132.830854372663,0.6436867496542893
3129200001,2,"Soybean-like (later peak, slower decline)",81.82834011807397,76.70701073304407,160.03645689681449,78.52327855332479,12566.58728359572,0.7282429855002436
3129300003,2,"Soybean-like (later peak, slower decline)",81.06632299754965,72.50513815939712,60.068709078153915,77.79722345632769,4673.17878288628,0.8051786489978897
3129300008,2,"Soybean-like (later peak, slower decline)",80.59937488389747,69.81045900890615,30.02283199779652,77.3523121166493,2322.335471319282,0.759637125965716
3129300009,2,"Soybean-like (later peak, slower decline)",78.12212818169618,54.0991093857045,9.447130339905474,74.99197460426515,708.4589585333741,0.8026042108855197
3129300010,1,"Corn-like (early peak, fast decline)",72.26375501449328,6.262015929689646,78.67610429408826,232.48721870285607,18291.18866570841,0.6139274532407877
3129400002,2,"Soybean-like (later peak, slower decline)",86.30501741058997,93.62868234756793,39.58930233815645,82.78868713575397,3277.546365196408,0.8755621314501278
3129400003,1,"Corn-like (early peak, fast decline)",76.17772451914544,12.112057127162867,39.4690347346476,236.68698636206244,9341.806885963306,0.785881739322349
3129400004,1,"Corn-like (early peak, fast decline)",82.78755559318603,44.465806097226036,58.44845348952591,243.77946747224425,14248.532866252863,0.5649369912086346
3130100001,1,"Corn-like (early peak, fast decline)",79.78881298182921,25.130458665201864,76.64273861649372,240.56175659777495,18437.311832047846,0.7131481464185219
3130100002,2,"Soybean-like (later peak, slower decline)",76.99895455738606,47.24823018954099,232.6993782660642,73.92180713324828,17201.558560210786,0.6215689229171573
3130200001,1,"Corn-like (early peak, fast decline)",80.44067171050402,28.591046415819832,54.50717759936887,241.26121406769286,13150.467843027087,0.5296531718988351
3130200002,2,"Soybean-like (later peak, slower decline)",79.03091214186126,59.69399406257136,55.78357113154234,75.85787014463445,4231.622895100518,0.7700131451078442
3130200003,1,"Corn-like (early peak, fast decline)",91.6406946316898,94.94644328481186,29.28645583737049,253.2790629525289,7417.646091689818,0.5139704832786496
3130200004,2,"Soybean-like (later peak, slower decline)",80.50207664092628,68.98835350536652,19.952157882110583,77.25960568875502,1541.495850611649,0.6988629332278147
3130300002,1,"Corn-like (early peak, fast decline)",86.18676195463367,71.16176874485032,76.94801324466201,247.42688397020316,19039.00714482464,0.6730561219914861
3130400001,2,"Soybean-like (later peak, slower decline)",81.17617558200428,72.98469970312857,77.8424637342434,77.90189174620379,6064.075183082823,0.5683959356602661
