,early_ndvi,peak_ndvi,peak_doy,green_up_rate,decline_rate,cluster,confidence
0428400003,0.1418091546921503,0.7713410150437128,234,0.015497369945756923,-0.014878681334631438,2,1.0
0428400016,0.08666146391181535,0.7287752541162634,234,0.020109333331534314,-0.01620496855738157,2,1.0
0428400017,0.0955247758513453,0.7495058054871788,234,0.026450687183085984,-0.015705142613035402,2,1.0
0433100003,0.11658539829483952,0.7950755659356175,199,0.07086637258506108,-0.023296995721217864,1,0.5
0433200001,0.183272788937432,0.7453135928271681,234,0.0314753504349602,-0.01714749316680919,2,1.0
0433300009,0.11862263679504395,0.7798333485921224,234,0.027464920590454647,-0.021034572940204985,2,1.0
0433400005,0.0993076679640266,0.8481863037995012,234,0.0231180513484398,-0.018354486981563792,2,1.0
0433400006,0.11215860033792163,0.7093365478515625,195,0.02663673494258312,-0.028198246297611543,1,0.7129882455959912
0434100003,0.13179311870056906,0.7248376916956019,195,0.02954554696369996,-0.03455980730082832,1,0.7129882455959912
0434100011,0.11576618194580078,0.7209977370042068,195,0.057003287964717445,-0.02329787640511457,1,0.7129882455959912
0434100013,0.11805738251784752,0.6730786634693096,234,0.015178109676088805,-0.020900509271331177,2,1.0
0434200001,0.09438302557095095,0.7076151771093263,234,0.02064876329525049,-0.015058551758334492,2,1.0
0434200005,0.10209854032199983,0.7315371599607661,234,0.017855216783571572,-0.014556209143488603,2,1.0
0434200006,0.10467165511175497,0.7801313108542258,234,0.020750989181007568,-0.016815371186264482,2,1.0
0434200007,0.20652222992271504,0.5467039864018278,235,0.012098788450268638,-0.01619420603771273,0,0.8343636499841245
0434300001,0.10870488960942376,0.8289345349563046,234,0.022412684316927604,-0.008955092386874476,2,1.0
0434300003,0.10320588726375156,0.793267558052398,234,0.02323994441749747,-0.011324106001321391,2,1.0
0434400001,0.1014232996253432,0.8071856588907108,234,0.02303303924387115,-0.009857544798179504,2,1.0
0434400003,0.10490690800346954,0.7243268694196429,195,0.029183442583214002,-0.0304100673726915,1,0.7129882455959912
0434400004,0.1126608851557608,0.6756179035643003,234,0.02104327820828017,-0.010211996919379766,2,1.0
0435100002,0.09989768264876568,0.7267890570896814,195,0.05127441204461419,-0.03706243176250974,1,0.7129882455959912
0435100003,0.10537871836121179,0.6850688491869122,199,0.03705822226244402,-0.04006597972501369,2,0.5
0435200001,0.1312692303333758,0.6944570698408342,234,0.020851546017271072,-0.024584912965278025,2,1.0
0435300002,0.10785426763153771,0.8334389718170768,234,0.01929297926288868,-0.01676919765312075,2,1.0
0435300003,0.09250093117738381,0.7298668196495345,234,0.019362775906392626,-0.013016285957875275,2,1.0
